project,ci_tool,build_tool,raw_arguments,local_cache,remote_cache,parallelism
cloudflare_sciuro,github_actions,bazel,--bazelrc=tools/ci.bazelrc run //manifests:stable  > stable.yaml,False,False,2
cloudflare_sciuro,github_actions,bazel,--bazelrc=tools/ci.bazelrc run //manifests:cluster > cluster.yaml,False,False,2
cloudflare_sciuro,github_actions,bazel,--bazelrc=tools/ci.bazelrc build //...,False,False,2
cloudflare_sciuro,github_actions,bazel,--bazelrc=tools/ci.bazelrc run //:golangcilint,False,False,2
cloudflare_sciuro,github_actions,bazel,--bazelrc=tools/ci.bazelrc test //...,False,False,2
baidu_braft,github_actions,bazel,build -c opt --copt -DHAVE_ZLIB=1 //...,False,False,2
bazelbuild_rules_closure,buildkite,bazel,build ,False,False,2
bazelbuild_rules_closure,buildkite,bazel,test,False,False,2
bazelbuild_rules_closure,buildkite,bazel,build ,False,False,2
bazelbuild_rules_closure,buildkite,bazel,test,False,False,2
dreal_dreal4,github_actions,bazel,test //... \,False,False,2
dreal_dreal4,github_actions,bazel,test //... \,False,False,2
dreal_dreal4,github_actions,bazel,test //... \,False,False,2
dreal_dreal4,github_actions,bazel,test //... \,False,False,2
dreal_dreal4,github_actions,bazel,test //... \,False,False,2
dreal_dreal4,github_actions,bazel,test //... \,False,False,3
dreal_dreal4,github_actions,bazel,test //... \,False,False,3
dreal_dreal4,github_actions,bazel,test //... \,False,False,3
dreal_dreal4,github_actions,bazel,test //... \,False,False,3
dreal_dreal4,github_actions,bazel,test //... \,False,False,3
petitparser_java-petitparser,github_actions,maven,-B package --file pom.xml,False,False,2
grpc_grpc-java,github_actions,maven,verify --batch-mode,False,False,2
grpc_grpc-java,github_actions,maven,verify --batch-mode,False,False,2
grpc_grpc-java,github_actions,maven,verify --batch-mode,False,False,2
grpc_grpc-java,github_actions,maven,verify --batch-mode,False,False,2
bazelbuild_bazelisk,buildkite,bazel,build ,False,False,2
bazelbuild_bazelisk,buildkite,bazel,test--flaky_test_attempts=1 --test_output=streamed,False,False,2
bazelbuild_bazelisk,buildkite,bazel,build ,False,False,2
bazelbuild_bazelisk,buildkite,bazel,test--flaky_test_attempts=1 --test_output=streamed,False,False,2
bazelbuild_bazelisk,buildkite,bazel,build ,False,False,2
bazelbuild_bazelisk,buildkite,bazel,test--flaky_test_attempts=1 --test_output=streamed,False,False,2
bazelbuild_bazelisk,buildkite,bazel,build ,False,False,2
