project,tool,command
google_fruit,github-actions,, test: DebugPlain}
baidu_braft,github-actions,]
baidu_braft,github-actions,- build_tool: bazel
baidu_braft,github-actions,if: ${{ matrix.build_tool == 'bazel' }}
baidu_braft,github-actions,-0.25.2-installer-linux-x86_64.sh
baidu_braft,github-actions,-0.25.2-installer-linux-x86_64.sh
baidu_braft,github-actions,-0.25.2-installer-linux-x86_64.sh --user
baidu_braft,github-actions,if: ${{ matrix.build_tool == 'bazel' }}
baidu_braft,github-actions,build -c opt --copt -DHAVE_ZLIB=1 //...
google_crubit,buildkite,# Part of the Crubit project, under the Apache License v2.0 with LLVM
# Exceptions. See /LICENSE for license information.
# SPDX-License-Identifier: Apache-2.0 WITH LLVM-exception

---
default_linux_targets: &default_linux_targets
  # TODO(b/234804076): Make the whole repo buildable/testable with //...
  # Target below is only a rudimentary smoke test.
  - "//rs_bindings_from_cc:rs_bindings_from_cc_impl"
  - "//rs_bindings_from_cc:importer_test"
  - "//rs_bindings_from_cc:cc_collect_instantiations_test"
  - "//rs_bindings_from_cc:collect_instantiations_test"
  - "//rs_bindings_from_cc:bazel_types_test"
  - "//rs_bindings_from_cc:cmdline_test"
  - "//rs_bindings_from_cc:rs_ir_test"
  - "//cc_template/..."
  - "//lifetime_analysis/..."
default_linux_task: &default_linux_task
  platform: ubuntu2004
  shell_commands:
    - "sudo apt -y update && sudo apt -y install lld"
  build_flags:
    - "--repo_env=CC=clang"
  build_targets: *default_linux_targets
  test_targets: *default_linux_targets
tasks:
  ubuntu2004:
    name: Stable Bazel Version With Clang and LLD
    <<: *default_linux_task
  ubuntu2004_rolling:
    name: Rolling Bazel Version With Clang and LLD
    bazel: "rolling"
    <<: *default_linux_task

google_closure-compiler,github-actions,-bin-unsymlink
google_closure-compiler,github-actions,isk
google_closure-compiler,github-actions,isk@v2
google_closure-compiler,github-actions,isk test //:all
google_closure-compiler,github-actions,Artifacts
google_closure-compiler,github-actions,-bin/compiler_uberjar_deploy.jar
google_closure-compiler,github-actions,-bin/*_bundle.jar
google_closure-compiler,github-actions,-bin.
google_closure-compiler,github-actions,would have put it.
google_closure-compiler,github-actions,-bin
google_closure-compiler,github-actions,-bin/compiler_uberjar_deploy.jar
google_closure-compiler,github-actions,-bin.
google_closure-compiler,github-actions,path: bazel-bin
bazelbuild_rules_closure,buildkite,---
platforms:
  ubuntu1804:
    build_targets:
    - "..."
    test_targets:
    - "..."
  macos:
    build_targets:
    - "..."
    test_targets:
    - "..."

dreal_dreal4,github-actions,test //... \
dreal_dreal4,github-actions,test //... \
dreal_dreal4,github-actions,test //... \
dreal_dreal4,github-actions,test //... \
dreal_dreal4,github-actions,test //... \
dreal_dreal4,github-actions,isk
dreal_dreal4,github-actions,isk; fi
dreal_dreal4,github-actions,test //... \
dreal_dreal4,github-actions,isk
dreal_dreal4,github-actions,isk; fi
dreal_dreal4,github-actions,test //... \
dreal_dreal4,github-actions,isk
dreal_dreal4,github-actions,isk; fi
dreal_dreal4,github-actions,test //... \
dreal_dreal4,github-actions,isk
dreal_dreal4,github-actions,isk; fi
dreal_dreal4,github-actions,test //... \
dreal_dreal4,github-actions,isk
dreal_dreal4,github-actions,isk; fi
dreal_dreal4,github-actions,test //... \
