project,ci_tool,non_expanded_command_size,expanded_command_size
google_crubit,buildkite,1,6
google_crubit,buildkite,0,2
bazelbuild_vscode-bazel,buildkite,0,0
buchgr_bazel-remote,buildkite,0,8
buchgr_bazel-remote,buildkite,0,5
buchgr_bazel-remote,buildkite,0,6
protocolbuffers_upb,buildkite,0,9
bazelbuild_bazel-toolchains,buildkite,0,4
bazelbuild_rules_foreign_cc,buildkite,0,0
bazelbuild_rules_foreign_cc,buildkite,0,2
bazelbuild_rules_foreign_cc,buildkite,4,4
bazelbuild_rules_foreign_cc,buildkite,3,3
bazelbuild_rules_foreign_cc,buildkite,0,1
bazelbuild_rules_foreign_cc,buildkite,5,6
bazelbuild_rules_foreign_cc,buildkite,4,5
bazelbuild_rules_foreign_cc,buildkite,1,4
bazelbuild_rules_foreign_cc,buildkite,0,9
bazelbuild_rules_foreign_cc,buildkite,1,2
bazelbuild_rules_foreign_cc,buildkite,1,3
bazelbuild_rules_kotlin,buildkite,0,6
bazelbuild_rules_kotlin,buildkite,1,10
bazelbuild_rules_kotlin,buildkite,1,8
bazelbuild_rules_kotlin,buildkite,0,7
bazelbuild_rules_kotlin,buildkite,2,10
grpc_grpc,buildkite,0,0
bazelbuild_bazel-buildfarm,buildkite,1,5
bazelbuild_bazel-buildfarm,buildkite,1,14
bazelbuild_bazel-buildfarm,buildkite,0,2
bazelbuild_bazel-buildfarm,buildkite,1,6
bazelbuild_bazel-skylib,buildkite,0,2
bazelbuild_bazel-skylib,buildkite,1,4
bazelbuild_bazel-skylib,buildkite,2,7
bazelbuild_bazel-skylib,buildkite,2,6
bazelbuild_rules_swift,buildkite,0,8
bazelbuild_rules_swift,buildkite,1,10
bazelbuild_rules_swift,buildkite,1,11
bazelbuild_rules_pkg,buildkite,0,0
bazelbuild_rules_pkg,buildkite,1,2
bazelbuild_rules_pkg,buildkite,0,2
bazelbuild_rules_pkg,buildkite,0,7
google_glog,buildkite,2,5
google_glog,buildkite,2,4
google_glog,buildkite,4,15
bazelbuild_rules_nodejs,buildkite,1,17
bazelbuild_rules_nodejs,buildkite,1,28
bazelbuild_rules_nodejs,buildkite,3,32
bazelbuild_rules_nodejs,buildkite,5,39
bazelbuild_rules_nodejs,buildkite,6,42
bazelbuild_rules_nodejs,buildkite,0,14
bazelbuild_rules_nodejs,buildkite,1,24
bazelbuild_rules_nodejs,buildkite,1,16
bazelbuild_rules_nodejs,buildkite,4,35
bazelbuild_rules_nodejs,buildkite,1,25
bazelbuild_rules_nodejs,buildkite,1,32
bazelbuild_rules_nodejs,buildkite,2,28
bazelbuild_rules_nodejs,buildkite,1,23
bazelbuild_rules_nodejs,buildkite,4,48
bazelbuild_rules_nodejs,buildkite,4,50
bazelbuild_rules_nodejs,buildkite,1,29
bazelbuild_rules_docker,buildkite,1,6
bazelbuild_rules_docker,buildkite,2,109
bazelbuild_rules_docker,buildkite,0,2
bazelbuild_rules_rust,buildkite,0,4
bazelbuild_rules_rust,buildkite,0,8
bazelbuild_rules_rust,buildkite,0,6
bazelbuild_rules_rust,buildkite,1,11
bazelbuild_rules_rust,buildkite,1,6
bazelbuild_rules_rust,buildkite,1,8
bazelbuild_rules_rust,buildkite,2,13
bazelbuild_rules_rust,buildkite,2,8
bazelbuild_rules_rust,buildkite,2,10
bazelbuild_rules_rust,buildkite,3,15
bazelbuild_rules_rust,buildkite,3,10
bazelbuild_rules_rust,buildkite,4,14
bazelbuild_rules_rust,buildkite,0,7
bazelbuild_rules_rust,buildkite,2,11
bazelbuild_rules_rust,buildkite,1,9
bazelbuild_rules_rust,buildkite,3,13
bazelbuild_rules_rust,buildkite,2,17
bazelbuild_rules_rust,buildkite,0,9
bazelbuild_rules_cc,buildkite,0,0
bazelbuild_rules_cc,buildkite,1,2
bazelbuild_rules_cc,buildkite,2,4
kythe_kythe,buildkite,0,46
kythe_kythe,buildkite,0,48
bazelbuild_rules_python,buildkite,0,6
bazelbuild_rules_python,buildkite,0,8
bazelbuild_rules_python,buildkite,1,10
bazelbuild_rules_python,buildkite,1,14
bazelbuild_rules_python,buildkite,1,16
bazelbuild_rules_python,buildkite,1,8
tweag_rules_haskell,buildkite,2,22
tweag_rules_haskell,buildkite,2,27
bazelbuild_rules_jvm_external,buildkite,0,14
bazelbuild_rules_jvm_external,buildkite,0,18
bazelbuild_rules_jvm_external,buildkite,0,22
bazelbuild_rules_jvm_external,buildkite,0,20
bazelbuild_rules_jvm_external,buildkite,0,23
google_cargo-raze,buildkite,0,0
bazelbuild_rules_go,buildkite,0,0
bazelbuild_rules_go,buildkite,1,2
bazelbuild_rules_go,buildkite,2,9
bazelbuild_rules_go,buildkite,7,181
bazelbuild_rules_go,buildkite,10,109
bazelbuild_rules_go,buildkite,2,4
bazelbuild_rules_go,buildkite,9,23
bazelbuild_rules_go,buildkite,10,40
bazelbuild_intellij,buildkite,1,46
bazelbuild_intellij,buildkite,2,34
bazelbuild_intellij,buildkite,1,18
bazelbuild_intellij,buildkite,1,19
bazelbuild_intellij,buildkite,2,35
bazelbuild_intellij,buildkite,1,20
bazelbuild_intellij,buildkite,2,36
bazelbuild_intellij,buildkite,1,45
bazelbuild_intellij,buildkite,2,33
bazelbuild_intellij,buildkite,1,17
bazelbuild_intellij,buildkite,3,35
bazelbuild_intellij,buildkite,3,36
bazelbuild_intellij,buildkite,3,37
bazelbuild_tulsi,buildkite,0,4
bazelbuild_rules_dotnet,buildkite,0,20
bazelbuild_rules_dotnet,buildkite,0,22
bazelbuild_rules_dotnet,buildkite,1,22
bazelbuild_rules_dotnet,buildkite,1,24
stackb_rules_proto,buildkite,2,9
stackb_rules_proto,buildkite,1,6
bazelbuild_bazel-gazelle,buildkite,0,0
