project,ci_tool,invoked_by_script
google_crubit,buildkite,False
bazelbuild_vscode-bazel,buildkite,False
buchgr_bazel-remote,buildkite,False
protocolbuffers_upb,buildkite,False
bazelbuild_bazel-toolchains,buildkite,False
bazelbuild_rules_foreign_cc,buildkite,False
bazelbuild_rules_kotlin,buildkite,False
grpc_grpc,buildkite,False
bazelbuild_bazel-buildfarm,buildkite,False
bazelbuild_bazel-skylib,buildkite,False
bazelbuild_rules_swift,buildkite,False
bazelbuild_rules_pkg,buildkite,False
google_glog,buildkite,False
bazelbuild_rules_nodejs,buildkite,False
bazelbuild_rules_docker,buildkite,False
bazelbuild_rules_rust,buildkite,False
bazelbuild_rules_cc,buildkite,False
kythe_kythe,buildkite,False
bazelbuild_rules_python,buildkite,False
tweag_rules_haskell,buildkite,False
bazelbuild_rules_jvm_external,buildkite,False
google_cargo-raze,buildkite,False
bazelbuild_rules_go,buildkite,False
bazelbuild_intellij,buildkite,False
bazelbuild_tulsi,buildkite,False
bazelbuild_rules_dotnet,buildkite,False
stackb_rules_proto,buildkite,False
bazelbuild_bazel-gazelle,buildkite,False
nelhage_rules_boost,buildkite,False
envoyproxy_envoy,buildkite,False
googleapis_google-cloud-cpp,buildkite,False
bazelbuild_rules_apple,buildkite,False
bazelbuild_bazel-watcher,buildkite,False
