project,ci_tool,subcommands,skip_tests,build_tests_only,use_build_tool
SeleniumHQ_htmlunit-driver,travis_ci,"test,javadoc:javadoc",False,False,True
SeleniumHQ_htmlunit-driver,travis_ci,install,True,False,True
eirslett_frontend-maven-plugin,github_actions,"clean,install",False,False,True
eirslett_frontend-maven-plugin,github_actions,deploy,True,False,True
ta4j_ta4j,github_actions,test,False,False,True
ta4j_ta4j,github_actions,formatter:validate,False,False,True
ta4j_ta4j,github_actions,license:check,False,False,True
ta4j_ta4j,travis_ci,"formatter:validate,license:check,test",False,False,True
ta4j_ta4j,travis_ci,install,True,False,True
orphan-oss_launch4j-maven-plugin,github_actions,test,False,False,True
orphan-oss_launch4j-maven-plugin,travis_ci,test,False,False,True
orphan-oss_launch4j-maven-plugin,travis_ci,install,True,False,True
JCTools_JCTools,travis_ci,test,False,False,True
JCTools_JCTools,travis_ci,install,True,False,True
AppiumTestDistribution_AppiumTestDistribution,circle_ci,"clean,test",False,False,True
davidmoten_rxjava2-jdbc,github_actions,verify,False,False,True
NLPchina_elasticsearch-sql,travis_ci,test,False,False,True
NLPchina_elasticsearch-sql,travis_ci,install,True,False,True
apache_commons-jexl,github_actions,"clean,package",True,False,True
mcMMO-Dev_mcMMO,github_actions,verify,False,False,True
spdx_tools,travis_ci,test,False,False,True
spdx_tools,travis_ci,install,True,False,True
davidmoten_xsd-forms,github_actions,verify,False,False,True
anyascii_anyascii,github_actions,package,False,False,True
idempiere_idempiere,github_actions,package,False,False,True
undertow-io_undertow,github_actions,"clean,install",True,False,True
undertow-io_undertow,github_actions,test,False,False,True
camunda_zeebe,github_actions,"release:prepare,release:perform",False,False,True
camunda_zeebe,github_actions,versions:set-property,False,False,True
camunda_zeebe,github_actions,help:evaluate,False,False,True
camunda_zeebe,github_actions,package,False,False,True
camunda_zeebe,github_actions,jib:build,False,False,True
camunda_zeebe,github_actions,verify,False,False,True
camunda_zeebe,github_actions,test,False,False,True
camunda_zeebe,github_actions,"compile,generate-sources,source:jar,javadoc:jar,deploy",False,False,True
camunda_zeebe,github_actions,"exec:exec)""",False,False,True
camunda_zeebe,github_actions,install,True,False,True
davidB_scala-maven-plugin,github_actions,"package,javadoc:jar,site",False,False,True
davidB_scala-maven-plugin,github_actions,"integration-test,verify",False,False,True
yago-naga_yago3,travis_ci,test,False,False,True
yago-naga_yago3,travis_ci,install,True,False,True
jchambers_pushy,github_actions,verify,False,False,True
atomashpolskiy_bt,travis_ci,"clean,install",False,False,True
atomashpolskiy_bt,travis_ci,sonar:sonar,False,False,True
atomashpolskiy_bt,travis_ci,install,True,False,True
jpush_jpush-api-java-client,github_actions,"clean,package",True,False,True
jpush_jpush-api-java-client,github_actions,deploy,True,False,True
apache_sedona,github_actions,"clean,install",True,False,True
apache_struts,github_actions,test,False,False,True
apache_struts,github_actions,verify,False,False,True
apache_struts,github_actions,"clean,package",True,False,True
imagej_ImageJ,github_actions,deploy,False,False,True
vorburger_MariaDB4j,github_actions,"clean,package",True,False,True
vorburger_MariaDB4j,travis_ci,verify,False,False,True
vorburger_MariaDB4j,travis_ci,install,True,False,True
jmeter-maven-plugin_jmeter-maven-plugin,github_actions,"clean,deploy",False,False,True
jmeter-maven-plugin_jmeter-maven-plugin,github_actions,"clean,package",True,False,True
jmeter-maven-plugin_jmeter-maven-plugin,github_actions,"clean,verify",False,False,True
ShaftHQ_SHAFT_ENGINE,github_actions,"clean,install",True,False,True
ShaftHQ_SHAFT_ENGINE,github_actions,test,False,False,True
ShaftHQ_SHAFT_ENGINE,github_actions,help:evaluate,False,False,True
sarxos_webcam-capture,github_actions,verify,False,False,True
sarxos_webcam-capture,travis_ci,test,False,False,True
sarxos_webcam-capture,travis_ci,install,True,False,True
igniterealtime_Openfire,github_actions,package,False,False,True
igniterealtime_Openfire,github_actions,help:evaluate,False,False,True
igniterealtime_Openfire,github_actions,deploy,False,False,True
igniterealtime_Openfire,github_actions,install,False,False,True
googleapis_google-api-java-client,github_actions,dependency:get,False,False,True
googleapis_google-api-java-client,github_actions,install:install-file,False,False,True
googleapis_google-api-java-client,github_actions,install,False,False,True
googleapis_google-api-java-client,github_actions,dependency:analyze,False,False,True
googleapis_google-api-java-client,github_actions,test,False,False,True
googleapis_google-api-java-client,github_actions,"javadoc:javadoc,javadoc:test-javadoc",False,False,True
googleapis_google-api-java-client,github_actions,clirr:check,False,False,True
googleapis_google-api-java-client,github_actions,wrapper:wrapper,False,False,True
googleapis_google-api-java-client,github_actions,"verify,install",False,False,True
fizzgate_fizz-gateway-community,github_actions,"clean,package,install",False,False,True
fizzgate_fizz-gateway-community,github_actions,"clean,package",True,False,True
got5_tapestry5-jquery,travis_ci,install,True,False,True
iluwatar_java-design-patterns,github_actions,"clean,verify",False,False,True
HubSpot_jinjava,travis_ci,test,False,False,True
HubSpot_jinjava,travis_ci,install,True,False,True
bytedeco_javacv,travis_ci,clean,False,False,True
apache_dubbo,github_actions,"clean,source:jar,install",True,False,True
apache_dubbo,github_actions,"clean,test,verify",True,False,True
apache_dubbo,github_actions,"clean,install",True,False,True
apache_dubbo,github_actions,"package,exec:java",True,False,True
apache_dubbo,github_actions,"clean,package,native:compile",True,False,True
apache_dubbo,github_actions,"clean,compile,exec:java",False,False,True
OpenPojo_openpojo,travis_ci,test,False,False,True
OpenPojo_openpojo,travis_ci,install,True,False,True
checkstyle_checkstyle,github_actions,"clean,site",True,False,True
checkstyle_checkstyle,github_actions,package,False,False,True
checkstyle_checkstyle,github_actions,"clean,package",True,False,True
checkstyle_checkstyle,github_actions,release:prepare,False,False,True
checkstyle_checkstyle,github_actions,"clean,compile,package",False,False,True
checkstyle_checkstyle,github_actions,versions:set,False,False,True
checkstyle_checkstyle,github_actions,versions:commit,False,False,True
checkstyle_checkstyle,github_actions,"clean,compile",False,False,True
checkstyle_checkstyle,github_actions,install,False,False,True
checkstyle_checkstyle,github_actions,site,False,False,True
checkstyle_checkstyle,github_actions,release:perform,False,False,True
checkstyle_checkstyle,github_actions,"clean,test-compile",False,False,True
checkstyle_checkstyle,circle_ci,"clean,compile",False,False,True
checkstyle_checkstyle,circle_ci,"clean,compile,exec:exec",False,False,True
checkstyle_checkstyle,circle_ci,"clean,nondex:nondex",False,False,True
checkstyle_checkstyle,circle_ci,"clean,integration-test,failsafe:verify",False,False,True
checkstyle_checkstyle,circle_ci,"clean,versions:dependency-updates-report",False,False,True
checkstyle_checkstyle,circle_ci,"clean,install",False,False,True
checkstyle_checkstyle,circle_ci,install,False,False,True
checkstyle_checkstyle,circle_ci,verify,False,False,True
checkstyle_checkstyle,circle_ci,checkstyle:check@default,False,False,True
checkstyle_checkstyle,circle_ci,install:install-file,False,False,True
checkstyle_checkstyle,circle_ci,"clean,verify",True,False,True
checkstyle_checkstyle,circle_ci,"clean,test-compile,pmd:check,spotbugs:check",False,False,True
checkstyle_checkstyle,circle_ci,"clean,site",False,False,True
checkstyle_checkstyle,circle_ci,release:prepare,False,False,True
checkstyle_checkstyle,circle_ci,release:clean,False,False,True
checkstyle_checkstyle,circle_ci,"clean,package",False,False,True
checkstyle_checkstyle,circle_ci,package,False,False,True
checkstyle_checkstyle,circle_ci,site,False,False,True
checkstyle_checkstyle,circle_ci,"clean,package,sonar:sonar",False,False,True
checkstyle_checkstyle,circle_ci,"compile,checkstyle:check",False,False,True
checkstyle_checkstyle,circle_ci,checkstyle:check,False,False,True
checkstyle_checkstyle,circle_ci,"compile,verify",False,False,True
