project,ci_tool,local_cache,remote_cache,use_parallelization
SeleniumHQ_htmlunit-driver,travis_ci,False,False,False
eirslett_frontend-maven-plugin,github_actions,False,False,False
ta4j_ta4j,github_actions,False,False,False
ta4j_ta4j,travis_ci,False,False,False
orphan-oss_launch4j-maven-plugin,github_actions,False,False,False
davidmoten_rxjava2-jdbc,github_actions,False,False,False
NLPchina_elasticsearch-sql,travis_ci,False,False,False
apache_commons-jexl,github_actions,False,False,False
mcMMO-Dev_mcMMO,github_actions,False,False,False
davidmoten_xsd-forms,github_actions,False,False,False
anyascii_anyascii,github_actions,False,False,False
terrier-org_terrier-core,github_actions,False,False,False
undertow-io_undertow,github_actions,False,False,False
jchambers_pushy,github_actions,False,False,False
atomashpolskiy_bt,travis_ci,False,False,False
jpush_jpush-api-java-client,github_actions,False,False,False
apache_sedona,github_actions,False,False,False
apache_struts,github_actions,False,False,False
imagej_ImageJ,github_actions,True,False,False
vorburger_MariaDB4j,travis_ci,False,False,False
jmeter-maven-plugin_jmeter-maven-plugin,github_actions,False,False,False
ShaftHQ_SHAFT_ENGINE,github_actions,True,False,False
sarxos_webcam-capture,github_actions,False,False,False
sarxos_webcam-capture,travis_ci,False,False,False
igniterealtime_Openfire,github_actions,True,False,False
googleapis_google-api-java-client,github_actions,False,False,False
fizzgate_fizz-gateway-community,github_actions,False,False,False
got5_tapestry5-jquery,travis_ci,False,False,False
bytedeco_javacv,travis_ci,True,False,False
apache_dubbo,github_actions,False,False,False
checkstyle_checkstyle,github_actions,False,False,False
checkstyle_checkstyle,circle_ci,False,False,False
checkstyle_checkstyle,travis_ci,True,False,False
cpesch_RouteConverter,github_actions,False,False,False
spring-petclinic_spring-petclinic-microservices,github_actions,True,False,False
google_gson,github_actions,True,False,False
google_gson,github_actions,False,False,False
servicex-sh_httpx,github_actions,False,False,False
servicex-sh_httpx,github_actions,True,False,False
Card-Forge_forge,github_actions,True,False,False
farin_JCloisterZone,github_actions,False,False,False
wso2_product-ei,travis_ci,True,False,False
Nepxion_Discovery,github_actions,False,False,False
antlr_grammars-v4,github_actions,False,False,False
openscoring_openscoring,github_actions,False,False,False
gchq_Gaffer,github_actions,False,False,False
graphhopper_jsprit,github_actions,True,False,False
apache_commons-codec,github_actions,False,False,False
apache_servicecomb-java-chassis,github_actions,False,False,False
rrd4j_rrd4j,circle_ci,False,False,False
mojohaus_mojo-parent,github_actions,True,False,False
undera_jmeter-plugins,github_actions,False,False,True
megaease_easeagent,github_actions,True,False,False
clojure_tools.deps.alpha,github_actions,True,False,False
apereo_java-cas-client,github_actions,False,False,False
STAMP-project_dspot,github_actions,False,False,False
authorjapps_zerocode,github_actions,False,False,False
bytedeco_javacpp,travis_ci,True,False,False
astamuse_asta4d,travis_ci,False,False,False
DreamVoid_MiraiMC,github_actions,False,False,False
apache_commons-csv,github_actions,False,False,False
apache_commons-exec,github_actions,False,False,False
vert-x3_vertx-stack,github_actions,False,False,False
rxtx_rxtx,github_actions,False,False,False
structr_structr,github_actions,False,False,False
revelc_formatter-maven-plugin,github_actions,False,False,False
ControlSystemStudio_cs-studio,github_actions,False,False,False
openpnp_openpnp,github_actions,False,False,False
terasolunaorg_terasoluna-gfw,travis_ci,True,False,False
RWS_odata,github_actions,False,False,False
jberet_jsr352,github_actions,False,False,False
biojava_biojava,github_actions,False,False,False
cglib_cglib,travis_ci,True,False,False
amaembo_streamex,github_actions,True,False,False
