project,ci_tool,invoker
rnewson_couchdb-lucene,travis_ci,ci
reactiverse_es4x,github_actions,ci
SoftInstigate_restheart,github_actions,ci
openl-tablets_openl-tablets,github_actions,ci
jcodec_jcodec,travis_ci,ci
zsmartsystems_com.zsmartsystems.zigbee,github_actions,ci
zsmartsystems_com.zsmartsystems.zigbee,travis_ci,ci
davidmoten_rxjava2-jdbc,github_actions,ci
internetarchive_heritrix3,github_actions,ci
dromara_hertzbeat,github_actions,ci
swagger-api_swagger-core,github_actions,ci
swagger-api_swagger-core,github_actions,shell
yegor256_s3auth,github_actions,ci
speedment_speedment,github_actions,ci
speedment_speedment,travis_ci,ci
opentelecoms-org_jsmpp,travis_ci,ci
pentaho_pentaho-platform,github_actions,ci
googleapis_google-cloud-java,github_actions,shell
googleapis_google-cloud-java,github_actions,ci
apache_shiro,github_actions,ci
terrier-org_terrier-core,github_actions,ci
apache_plc4x,github_actions,ci
uwolfer_gerrit-rest-java-client,github_actions,ci
uwolfer_gerrit-rest-java-client,travis_ci,ci
rhuss_jolokia,github_actions,ci
rohanpadhye_JQF,github_actions,ci
bareboat-necessities_my-bareboat,github_actions,ci
tada_pljava,github_actions,ci
jmeter-maven-plugin_jmeter-maven-plugin,github_actions,ci
ShaftHQ_SHAFT_ENGINE,github_actions,ci
apache_servicecomb-pack,github_actions,ci
aadnk_ProtocolLib,github_actions,ci
flink-extended_dl-on-flink,github_actions,ci
HubSpot_jinjava,travis_ci,ci
logfellow_logstash-logback-encoder,github_actions,ci
RetGal_Dayon,github_actions,ci
jitsi_libjitsi,github_actions,ci
jitsi_libjitsi,github_actions,shell
OpenPojo_openpojo,travis_ci,ci
apache_dolphinscheduler,github_actions,ci
apache_dolphinscheduler,github_actions,shell
xiweicheng_tms,github_actions,ci
fabric8io_kubernetes-client,github_actions,ci
yuzutech_kroki,github_actions,make
servicex-sh_httpx,github_actions,ci
googleapis_google-http-java-client,github_actions,shell
Card-Forge_forge,github_actions,ci
MyRobotLab_myrobotlab,github_actions,ci
MyRobotLab_myrobotlab,travis_ci,ci
openjdk_jmh,github_actions,ci
apache_dubbo-samples,github_actions,ci
apache_dubbo-samples,github_actions,shell
openpreserve_jhove,github_actions,ci
openpreserve_jhove,travis_ci,ci
ArcadeData_arcadedb,github_actions,ci
spring-cloud_spring-cloud-skipper,github_actions,ci
knowm_XChart,github_actions,ci
openzipkin_zipkin,github_actions,ci
apache_servicecomb-java-chassis,github_actions,ci
PhoenicisOrg_phoenicis,github_actions,ci
undera_jmeter-plugins,github_actions,ci
