project,ci_tool,local_cache,remote_cache,use_parallelization
yahoo_egads,travis_ci,False,False,False
SeleniumHQ_htmlunit-driver,travis_ci,False,False,False
Wolfsblvt_BlossomsPokemonGoManager,travis_ci,False,False,False
vaadin_hilla,github_actions,False,False,False
jiayaoO3O_18-comic-finder,github_actions,False,False,True
petitparser_java-petitparser,github_actions,False,False,False
jonashackt_spring-boot-graalvm,github_actions,False,False,False
open-pdf-sign_open-pdf-sign,github_actions,True,False,False
open-pdf-sign_open-pdf-sign,github_actions,False,False,False
dhorions_boxable,travis_ci,False,False,False
mariazevedo88_travels-java-api,travis_ci,False,False,False
Pragmatists_JUnitParams,travis_ci,False,False,False
BenHerbst_idaesbasic,github_actions,True,False,False
BenHerbst_idaesbasic,github_actions,False,False,False
gnuhpc_Kafka-zk-restapi,travis_ci,False,False,False
rchodava_datamill,travis_ci,False,False,False
vincentrussell_sql-to-mongo-db-query-converter,github_actions,True,False,False
vincentrussell_sql-to-mongo-db-query-converter,travis_ci,False,False,False
wrandelshofer_FastDoubleParser,github_actions,False,False,False
apache_distributedlog,travis_ci,True,False,False
michael-simons_biking2,github_actions,False,False,False
lyft_presto-gateway,github_actions,True,False,False
ef-labs_vertx-jersey,travis_ci,False,False,False
chucheng92_TinyMooc,github_actions,False,False,False
BUAA-BDA_OpenHuFu,github_actions,True,False,False
j256_ormlite-android,circle_ci,False,False,False
dschulten_hydra-java,travis_ci,False,False,False
warmuuh_milkman,github_actions,True,False,False
warmuuh_milkman,github_actions,False,False,False
osiegmar_FastCSV,github_actions,False,False,False
debezium_debezium-ui,github_actions,False,False,False
dain_leveldb,travis_ci,False,False,False
spring-cloud_spring-cloud-deployer-kubernetes,github_actions,True,False,False
sejda-pdf_webp-imageio,travis_ci,False,False,False
rayokota_hgraphdb,github_actions,False,False,False
jpmml_jpmml-lightgbm,github_actions,True,False,False
greengerong_prerender-java,travis_ci,False,False,False
FasterXML_jackson-dataformats-text,github_actions,True,False,False
FasterXML_jackson-dataformats-text,travis_ci,False,False,False
apache_parquet-format,github_actions,False,False,False
shzlw_poli,travis_ci,False,False,False
a-schild_jave2,github_actions,True,False,False
rrd4j_rrd4j,circle_ci,False,False,False
Nepxion_Matrix,github_actions,False,False,False
frohoff_ysoserial,github_actions,True,False,False
frohoff_ysoserial,travis_ci,True,False,False
