project,build_target,test_target
3rdparty_stout,,
ERGO-Code_HiGHS,,
GoogleCloudPlatform_elcarro-oracle-operator,,
Tinder_bazel-diff,,
angular_material.angular.io,,
apache_brpc,,
aspect-build_rules_js,,
bazelbuild_bazel-gazelle,,
bazelbuild_bazelisk,,
bazelbuild_buildtools,,
bazelbuild_rules_apple,,
bazelbuild_rules_dotnet,,
bazelbuild_rules_go,,
bazelbuild_rules_jvm_external,,
bazelbuild_rules_kotlin,,
bazelbuild_rules_rust,,
bazeltools_bazel-deps,,
chipsalliance_verible,,
cockroachdb_cockroach,,
dfinity_ic,,
evilcorpltd_aTox,,
formatjs_formatjs,,
google_allocation-instrumenter,,
google_cctz,,
google_chrome-ssh-agent,,
google_closure-templates,...,
google_flatbuffers,,
google_go-jsonnet,,
google_j2cl,,
google_quiche,//...,
grpc-ecosystem_grpc-gateway,,
grpc_grpc-java,,
grpc_grpc-proto,,
intel_intel-extension-for-tensorflow,,
jesec_rtorrent,,
livegrep_livegrep,,
lowRISC_opentitan,,
martian-lang_martian,,
microsoft_tensorflow-directml,,
openxla_xla,,
sogou_srpc,,
squzy_squzy,,
stackb_rules_proto,,
stratum_stratum,,
tensorflow_tensorflow,,
tensorflow_tflite-support,,
tweag_rules_haskell,,
vaticle_typeql,,
