project,build_target,test_target
AcademySoftwareFoundation_openexr,,
3rdparty_stout,,
GoogleCloudDataproc_initialization-actions,,
GoogleCloudPlatform_cloud-spanner-emulator,binaries/gateway_main,
GoogleCloudPlatform_elcarro-oracle-operator,,
GoogleCloudPlatform_k8s-cluster-bundle,//...,
GoogleCloudPlatform_testgrid,//...,
JetBrains_bazel-bsp,//...,
PCRE2Project_pcre2,,
Tinder_bazel-diff,,
abseil_abseil-py,//...,
angular_material.angular.io,,
angular_vscode-ng-language-service,,
apache_brpc,,
aspect-build_rules_js,,
autodiff_autodiff,//...,
bazelbuild_bazel-gazelle,,
bazelbuild_bazel-skylib,//...,
bazelbuild_bazel-toolchains,//...,
bazelbuild_bazel-watcher,//...,
bazelbuild_bazelisk,,
bazelbuild_buildtools,,
bazelbuild_rules_dotnet,,
bazelbuild_rules_go,,
bazelbuild_rules_jvm_external,,
bazelbuild_rules_kotlin,,
bazelbuild_rules_rust,,
bazelbuild_starlark,//...,
bazeltools_bazel-deps,,
catchorg_Catch2,,
chipsalliance_verible,,
evilcorpltd_aTox,,
gTile_gTile,,
google_allocation-instrumenter,,
google_brotli,,
vaticle_typeql,,
google_cctz,,
google_cel-cpp,//...,
google_cel-spec,//...,
google_chrome-ssh-agent,,
google_closure-templates,...,
google_copybara,//java/com/google/copybara,
google_cpu_features,,
google_double-conversion,,
google_flatbuffers,,
google_gemmlowp,,
google_go-jsonnet,,
google_guice,//...,
google_j2cl,,
google_jni-bind,,
google_re2,,
googleapis_gapic-generator-go,//...,
grpc-ecosystem_grpc-gateway,,
grpc_grpc-java,,
grpc_grpc-kotlin,//...,
grpc_grpc-proto,,
hedronvision_bazel-compile-commands-extractor,,
jbcoe_polymorphic_value,,
jesec_rtorrent,,
jupp0r_prometheus-cpp,//...,
livegrep_livegrep,,
lowRISC_opentitan,,
opencivicdata_ocd-division-ids,//...,
openconfig_gnmi,//...,
openconfig_gnoi,//...,
pytorch_cpuinfo,//...,
salesforce_rules_spring,//...,
sogou_srpc,,
tensorflow_tflite-micro,,
stackb_rules_proto,,
